formula, good_instruction, is_taut, num_of_nodes, num_of_branches
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{14}{4451}{55551155}{3333333333333333}}, False, 70, 12
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{14}{4455}{55551111}{3333333333333333}}, False, 70, 12
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{15}{4444}{55551111}{3333333333333333}}, False, 66, 11
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{15}{4441}{55551144}{3333333333333333}}, False, 52, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{15}{4414}{55554411}{3333333333333333}}, False, 66, 11
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{15}{4411}{55554444}{3333333333333333}}, False, 52, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{11}{4544}{55445555}{3333333333333333}}, False, 60, 11
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{11}{4545}{55445544}{3333333333333333}}, False, 60, 11
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{11}{4554}{55444455}{3333333333333333}}, False, 52, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{11}{4555}{55444444}{3333333333333333}}, False, 52, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{14}{4511}{55445555}{3333333333333333}}, False, 70, 12
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{14}{4515}{55445511}{3333333333333333}}, False, 70, 12
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{14}{4551}{55441155}{3333333333333333}}, False, 70, 12
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{14}{4555}{55441111}{3333333333333333}}, False, 70, 12
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{15}{4544}{55441111}{3333333333333333}}, False, 66, 11
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{15}{4541}{55441144}{3333333333333333}}, False, 52, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{15}{4514}{55444411}{3333333333333333}}, False, 66, 11
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{15}{4511}{55444444}{3333333333333333}}, False, 52, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{11}{5444}{44555555}{3333333333333333}}, False, 55, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{11}{5445}{44555544}{3333333333333333}}, False, 55, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{11}{5454}{44554455}{3333333333333333}}, False, 47, 8
